"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,What is the primary purpose of Electron.js?,To build cross-platform desktop applications using web technologies.,To develop high-performance backend services.,To create mobile-first web applications.,To compile web code into native mobile apps.,20,1,,,,,,,,,,,,,,,,,,
2,Which two main processes are fundamental to an Electron application's architecture?,Main process and Renderer process.,Server process and Client process.,Background process and Foreground process.,UI process and Logic process.,20,1,,,,,,,,,,,,,,,,,,
3,In an Electron application which process has direct access to Node.js APIs and manages the application lifecycle?,Main process.,Renderer process.,Preload script process.,Web Worker process.,20,1,,,,,,,,,,,,,,,,,,
4,What does 'Context Isolation' in Electron aim to prevent?,Malicious code in a renderer process from accessing Node.js APIs directly.,Renderer processes from communicating with each other.,The main process from sending messages to the renderer.,The application from accessing local files.,20,1,,,,,,,,,,,,,,,,,,
5,Which package.json script typically specifies the entry point file for the main process of an Electron application?,main,start,renderer,electron,20,1,,,,,,,,,,,,,,,,,,
6,Which module is responsible for creating and managing native browser windows in Electron?,BrowserWindow.,WebView.,Window.,AppWindow.,20,1,,,,,,,,,,,,,,,,,,
7,What is a key benefit of using Electron for desktop application development?,Leveraging existing web development skills and technologies.,Superior performance compared to native applications.,Smaller application bundle sizes.,Automatic security updates for all dependencies.,20,1,,,,,,,,,,,,,,,,,,
8,When an Electron app is started which event is typically emitted by the app module once Electron has finished initializing?,'ready','startup','launch','init',20,1,,,,,,,,,,,,,,,,,,
9,How does Electron load content into its renderer processes?,By loading a local HTML file or a remote URL.,By embedding a native UI framework.,By compiling JavaScript into a native view.,Only by loading remote URLs.,20,1,,,,,,,,,,,,,,,,,,
10,What is the purpose of the app module in Electron?,To control the application's event lifecycle.,To manage rendering and UI.,To handle database interactions.,To provide access to web APIs.,20,1,,,,,,,,,,,,,,,,,,
11,Which feature of Electron allows for multiple isolated UI processes each acting like a separate web page?,Renderer processes.,Main process.,Preload scripts.,Web Workers.,20,1,,,,,,,,,,,,,,,,,,
12,What is a common drawback of Electron applications compared to purely native desktop applications?,Higher memory usage and larger executable sizes.,Inability to access local file systems.,Lack of cross-platform compatibility.,Difficulty in implementing modern UI designs.,20,1,,,,,,,,,,,,,,,,,,
13,Which of the following is true about the Renderer process?,It runs a full Chromium browser instance for rendering web content.,It has direct access to Node.js and OS-level APIs without isolation.,There can only be one Renderer process per application.,It is primarily responsible for managing system resources.,20,1,,,,,,,,,,,,,,,,,,
14,What is the default security model for new Electron applications?,Context Isolation enabled and Node.js integration disabled in renderer processes.,Node.js integration enabled by default in all processes.,No sandboxing or isolation for renderer processes.,All external URLs are automatically trusted.,20,1,,,,,,,,,,,,,,,,,,
15,What is the role of a preload script in Electron?,To run before a web page loads in a renderer process and expose Node.js APIs securely.,To load all application assets before the main process starts.,To handle all inter-process communication directly.,To compile the entire application into a single executable.,20,1,,,,,,,,,,,,,,,,,,
16,If all BrowserWindow instances are closed which event on the app module indicates that the application is ready to quit (except on macOS)?,'window-all-closed','all-windows-closed','quit','app-closed',20,1,,,,,,,,,,,,,,,,,,
